player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
1353,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,17,17,16,2924,2924,3179,186,206,186,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,16,16,16,2904,2914,3156,172,177,186,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
1557,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2849,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,171,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,16,100,3,0,0,0,1,1,0,0,0,0,0,0,0,8,8,16,1442,1543,3102,0,0,186,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
1774,180,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,89,95,2154,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,25,100,5,0,0,0,1,1,0,0,0,0,0,0,0,5,7,11,944,1204,2326,186,186,186,10,5,0,0,0,0,0,0,0,0,3,0,0,0,0
1960,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,656,849,3122,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2032,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,13,14,16,2329,2408,3179,181,194,186,147,5,0,0,0,0,0,0,0,0,1,0,0,0,0
2107,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1369,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2139,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1510,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3179,0,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2318,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1768,0,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1704,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2366,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1568,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2384,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2016,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,9,10,16,1549,1826,3179,162,162,186,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
2444,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,141,461,2492,0,0,166,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2466,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,1011,1383,3171,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2653,4,100,8,0,0,0,1,1,0,0,0,0,0,0,0,3,6,7,627,1032,1521,185,185,186,20,0,0,0,0,0,0,9,0,0,3,0,0,0,0
2764,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2861,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2053,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2888,0,0,1,11,0,0,1,1,0,0,0,0,0,0,0,8,9,13,1455,1548,2704,186,186,186,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
2915,172,105,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,42,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,70,3150,0,0,186,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3022,117,103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,407,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3083,45,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1666,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3145,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1476,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,322,108,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3226,18,100,9,0,0,0,1,1,0,0,0,0,0,0,0,3,5,13,668,914,2751,183,183,186,0,5,0,0,0,0,0,9,0,0,3,0,0,0,0
3304,0,0,1,11,0,0,1,1,0,0,0,0,0,0,0,8,8,16,1532,1532,3169,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3388,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,15,15,16,2599,2636,3127,135,135,145,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3400,163,105,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2143,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,0,0,1,13,0,0,1,1,0,0,0,0,0,0,0,14,14,16,2408,2408,3179,186,186,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3477,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1970,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1384,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3546,39,101,1,11,0,0,0,0,0,0,0,0,0,0,0,7,8,16,1294,1445,3179,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3550,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1756,0,0,175,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3697,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,4,5,17,760,897,3048,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3733,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1511,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3740,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1727,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3759,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2050,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3789,84,102,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,670,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3798,143,104,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,161,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,784,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3821,159,105,1,12,0,0,0,0,0,0,0,0,0,0,0,4,4,10,712,851,2083,0,0,115,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
3828,14,100,7,0,0,0,1,1,0,0,0,0,0,0,0,3,5,12,650,860,2515,182,182,186,0,5,0,0,0,0,0,9,0,0,3,0,0,0,0
3841,336,108,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3898,344,108,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1768,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3963,8,100,1,11,0,0,1,1,0,0,0,0,0,0,0,2,4,13,390,826,2716,32,183,186,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0
3969,13,100,1,13,0,0,1,1,0,0,0,0,0,0,0,3,3,7,585,610,1597,186,186,186,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
3992,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1536,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2354,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1493,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4042,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1293,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4061,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1757,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4071,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2157,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4130,22,100,5,0,0,0,1,1,0,0,0,0,0,0,0,1,3,7,212,516,1532,142,186,186,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0
4137,18,100,3,0,0,0,1,1,0,0,0,0,0,0,0,4,4,10,688,688,2139,186,191,186,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4177,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4229,119,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2341,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4295,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,16,16,16,2832,2879,3174,186,186,186,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
4307,18,100,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,2092,0,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4328,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,335,644,2772,0,0,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4335,10,100,1,12,0,0,1,1,0,0,0,0,0,0,0,1,2,8,204,344,1767,32,186,186,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0
4341,16,100,1,12,0,0,1,1,0,0,0,0,0,0,0,16,16,17,2828,2829,3179,185,185,186,0,4,0,0,0,0,0,10,0,0,1,0,0,0,2
4418,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4486,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4490,154,105,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4491,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4495,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4497,175,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,495,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4498,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2848,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4525,82,102,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,495,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4555,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2021,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4560,134,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,495,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4563,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,294,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4564,9,100,1,11,0,0,1,1,0,0,0,0,0,0,0,3,4,8,530,696,1783,173,197,186,138,5,0,0,0,0,0,0,0,0,3,1,0,0,0
4569,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1499,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4579,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,15,15,16,2662,2705,3179,186,186,186,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
4594,268,107,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4596,65,102,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,686,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4600,161,105,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,485,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4602,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4605,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,2520,0,0,186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4606,158,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,118,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4609,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1371,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4624,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2189,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4625,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,299,897,2904,0,0,91,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4628,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4630,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4632,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1597,0,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4636,42,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1572,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4638,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,211,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4639,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4641,170,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4642,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4661,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4667,160,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4670,15,100,7,0,0,0,1,1,0,0,0,0,0,0,0,4,6,13,832,1117,2752,110,141,186,0,0,0,0,1,59,0,0,0,0,3,0,0,0,0
4695,139,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,496,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4696,81,102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1597,0,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4712,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1473,0,0,62,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4714,173,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,686,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,13,1844,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4736,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1495,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4740,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1538,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4745,137,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,269,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4751,159,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1937,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4754,0,0,1,12,0,0,1,1,0,0,0,0,0,0,0,12,12,16,2064,2064,3179,186,186,186,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
4766,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4779,54,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,46,138,2139,0,0,186,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
4780,341,108,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4784,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1308,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4787,152,105,1,11,0,0,0,0,0,0,0,0,0,0,0,6,8,16,1098,1514,2886,0,0,184,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4801,337,108,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4802,85,102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,662,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4804,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4824,127,104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4836,112,103,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,495,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4845,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1120,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4852,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4854,176,105,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,686,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4855,336,108,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4872,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4877,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4881,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4882,156,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4912,122,104,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,496,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4913,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4916,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1598,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4920,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,877,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4921,124,104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4925,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1625,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4956,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,2,4,16,505,768,3111,0,0,186,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
4957,176,105,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,673,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4967,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2304,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4975,156,105,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307,0,0,186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4976,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
