team_id,g,w,l,pos,pct,gb,streak,magic_number
136,70,25,45,5,0.3571,19.5000,-3,1000
137,70,34,36,4,0.4857,10.0000,-1,1000
138,73,31,42,5,0.4247,14.5000,6,1000
139,73,30,43,5,0.4110,10.5000,1,1000
140,70,37,33,3,0.5286,7.0000,2,1000
141,71,30,41,4,0.4225,9.5000,1,1000
142,70,35,35,3,0.5000,9.5000,1,1000
143,70,39,31,1,0.5571,0.0000,-1,4
144,73,41,32,2,0.5616,4.5000,2,1000
145,72,37,35,2,0.5139,8.5000,-3,1000
146,73,46,27,1,0.6301,0.0000,-2,-4
147,73,39,34,2,0.5342,1.5000,3,1000
148,70,44,26,1,0.6286,0.0000,-2,1
149,70,34,36,4,0.4857,10.5000,-1,1000
150,70,32,38,3,0.4571,7.0000,1,1000
151,62,29,33,2,0.4677,10.5000,2,1000
152,62,24,38,5,0.3871,14.0000,-3,1000
153,65,26,39,4,0.4000,13.5000,4,1000
154,65,52,13,1,0.8000,0.0000,3,-9
155,65,32,33,3,0.4923,20.0000,1,1000
156,62,32,30,3,0.5161,6.0000,4,1000
157,65,30,35,3,0.4615,11.0000,-2,1000
158,65,27,38,5,0.4154,25.0000,-1,1000
159,61,35,26,2,0.5738,15.0000,-4,1000
160,62,19,43,5,0.3065,20.5000,-4,1000
161,65,26,39,4,0.4000,15.0000,-2,1000
162,62,35,27,2,0.5645,3.0000,-5,1000
163,65,41,24,1,0.6308,0.0000,-3,-5
164,66,40,26,1,0.6061,0.0000,11,2
165,62,29,33,4,0.4677,21.5000,2,1000
166,65,42,23,1,0.6462,0.0000,-1,0
167,62,29,33,4,0.4677,7.0000,1,1000
168,66,34,32,2,0.5152,2.5000,-4,1000
169,62,36,26,1,0.5806,0.0000,6,2
170,65,31,34,4,0.4769,11.0000,1,1000
171,62,27,35,5,0.4355,13.5000,-3,1000
172,66,35,31,2,0.5303,3.0000,1,1000
173,62,31,31,3,0.5000,9.5000,-3,1000
174,65,32,33,3,0.4923,4.0000,3,1000
175,61,23,38,5,0.3770,11.0000,1,1000
176,65,36,29,1,0.5538,0.0000,-1,1
177,61,26,35,5,0.4262,9.5000,-1,1000
178,65,28,37,4,0.4308,8.0000,-1,1000
179,62,35,27,2,0.5645,5.5000,1,1000
180,65,32,33,3,0.4923,5.5000,3,1000
181,0,0,0,0,0.0000,0.0000,0,0
182,0,0,0,0,0.0000,0.0000,0,0
183,0,0,0,0,0.0000,0.0000,0,0
184,0,0,0,0,0.0000,0.0000,0,0
185,0,0,0,0,0.0000,0.0000,0,0
186,0,0,0,0,0.0000,0.0000,0,0
187,0,0,0,0,0.0000,0.0000,0,0
188,0,0,0,0,0.0000,0.0000,0,0
189,0,0,0,0,0.0000,0.0000,0,0
190,0,0,0,0,0.0000,0.0000,0,0
191,0,0,0,0,0.0000,0.0000,0,0
192,0,0,0,0,0.0000,0.0000,0,0
193,42,28,14,2,0.6667,1.0000,1,1000
194,40,17,23,12,0.4250,11.0000,1,1000
195,40,11,29,14,0.2750,22.0000,-7,1000
196,40,18,22,10,0.4500,10.0000,-6,1000
197,40,21,19,8,0.5250,12.0000,1,1000
198,40,15,25,14,0.3750,13.0000,-4,1000
199,40,26,14,3,0.6500,7.0000,1,1000
200,40,26,14,4,0.6500,2.0000,3,1000
201,40,21,19,7,0.5250,12.0000,2,1000
202,40,23,17,5,0.5750,10.0000,-1,1000
203,40,26,14,4,0.6500,7.0000,2,1000
204,40,18,22,11,0.4500,10.0000,3,1000
205,40,22,18,6,0.5500,11.0000,3,1000
206,40,16,24,12,0.4000,17.0000,-2,1000
207,40,23,17,6,0.5750,5.0000,-1,1000
208,40,14,26,15,0.3500,14.0000,-1,1000
209,40,19,21,9,0.4750,14.0000,-2,1000
210,40,6,34,16,0.1500,27.0000,-10,1000
211,40,17,23,13,0.4250,11.0000,3,1000
212,40,11,29,15,0.2750,22.0000,-1,1000
213,41,28,13,2,0.6829,5.5000,5,1000
214,40,26,14,5,0.6500,2.0000,4,1000
215,40,8,32,16,0.2000,20.0000,-3,1000
216,40,18,22,10,0.4500,15.0000,-3,1000
217,41,27,14,3,0.6585,1.5000,-1,1000
218,40,16,24,11,0.4000,17.0000,-2,1000
219,40,33,7,1,0.8250,0.0000,4,-5
220,40,22,18,8,0.5500,6.0000,-4,1000
221,40,28,12,1,0.7000,0.0000,2,-1
222,40,15,25,13,0.3750,18.0000,1,1000
223,40,20,20,9,0.5000,8.0000,-1,1000
224,40,23,17,7,0.5750,5.0000,-2,1000
225,40,22,18,6,0.5500,5.0000,-3,1000
226,40,20,20,10,0.5000,7.0000,-1,1000
227,40,18,22,10,0.4500,10.0000,2,1000
228,40,23,17,4,0.5750,5.0000,-2,1000
229,40,12,28,16,0.3000,15.0000,-1,1000
230,40,27,13,2,0.6750,1.0000,-1,1000
231,40,17,23,14,0.4250,10.0000,1,1000
232,40,15,25,13,0.3750,13.0000,5,1000
233,40,17,23,12,0.4250,11.0000,3,1000
234,40,17,23,13,0.4250,10.0000,3,1000
235,40,23,17,5,0.5750,5.0000,6,1000
236,40,17,23,15,0.4250,10.0000,1,1000
237,40,22,18,7,0.5500,5.0000,-2,1000
238,40,23,17,5,0.5750,4.0000,1,1000
239,40,18,22,11,0.4500,9.0000,-3,1000
240,40,11,29,15,0.2750,17.0000,-12,1000
241,40,27,13,1,0.6750,0.0000,-1,0
242,40,26,14,2,0.6500,1.0000,1,1000
243,40,20,20,9,0.5000,7.0000,2,1000
244,40,17,23,12,0.4250,10.0000,-1,1000
245,40,19,21,9,0.4750,9.0000,1,1000
246,40,21,19,7,0.5250,7.0000,1,1000
247,40,25,15,4,0.6250,2.0000,1,1000
248,40,9,31,16,0.2250,19.0000,-3,1000
249,40,28,12,1,0.7000,0.0000,3,0
250,40,15,25,14,0.3750,13.0000,-7,1000
251,40,17,23,11,0.4250,11.0000,1,1000
252,40,21,19,8,0.5250,6.0000,-1,1000
253,40,25,15,3,0.6250,3.0000,-1,1000
254,40,25,15,3,0.6250,2.0000,-1,1000
255,40,22,18,6,0.5500,6.0000,-2,1000
256,40,21,19,8,0.5250,7.0000,2,1000
257,40,24,16,7,0.6000,8.0000,-1,1000
258,40,11,29,15,0.2750,17.0000,-6,1000
259,40,24,16,6,0.6000,8.0000,2,1000
260,40,31,9,2,0.7750,1.0000,-1,1000
261,40,19,21,9,0.4750,13.0000,1,1000
262,40,15,25,13,0.3750,13.0000,-1,1000
263,40,24,16,5,0.6000,4.0000,6,1000
264,40,22,18,8,0.5500,10.0000,1,1000
265,40,17,23,13,0.4250,15.0000,-2,1000
266,40,25,15,5,0.6250,7.0000,1,1000
267,40,25,15,3,0.6250,3.0000,4,1000
268,40,14,26,15,0.3500,18.0000,1,1000
269,40,14,26,14,0.3500,14.0000,3,1000
270,40,6,34,16,0.1500,26.0000,-7,1000
271,40,15,25,12,0.3750,13.0000,-2,1000
272,40,19,21,11,0.4750,13.0000,-5,1000
273,40,15,25,11,0.3750,13.0000,-4,1000
274,41,28,13,3,0.6829,4.5000,6,1000
275,40,18,22,9,0.4500,10.0000,-1,1000
276,40,16,24,10,0.4000,12.0000,2,1000
277,40,18,22,12,0.4500,14.0000,2,1000
278,40,24,16,4,0.6000,4.0000,-2,1000
279,41,27,14,4,0.6585,5.5000,-1,1000
280,40,26,14,2,0.6500,2.0000,-1,1000
281,40,28,12,1,0.7000,0.0000,-1,-1
282,40,20,20,7,0.5000,8.0000,1,1000
283,40,19,21,8,0.4750,9.0000,-3,1000
284,40,23,17,6,0.5750,5.0000,5,1000
285,40,7,33,16,0.1750,21.0000,-3,1000
286,40,16,24,14,0.4000,16.0000,-2,1000
287,40,19,21,10,0.4750,13.0000,1,1000
288,40,32,8,1,0.8000,0.0000,2,0
289,40,17,23,10,0.4250,15.0000,1,1000
290,40,21,19,10,0.5250,9.0000,2,1000
291,40,29,11,2,0.7250,1.0000,2,1000
292,40,19,21,9,0.4750,13.0000,-2,1000
293,40,20,20,11,0.5000,10.0000,2,1000
294,40,24,16,3,0.6000,8.0000,8,1000
295,40,26,14,2,0.6500,6.0000,1,1000
296,40,24,16,4,0.6000,6.0000,1,1000
297,40,22,18,5,0.5500,10.0000,-1,1000
298,40,11,29,16,0.2750,21.0000,-7,1000
299,40,23,17,4,0.5750,9.0000,1,1000
300,40,15,25,12,0.3750,17.0000,-4,1000
301,40,21,19,9,0.5250,9.0000,-1,1000
302,40,17,23,11,0.4250,15.0000,2,1000
303,40,18,22,12,0.4500,12.0000,-1,1000
304,40,22,18,8,0.5500,8.0000,6,1000
305,40,16,24,13,0.4000,14.0000,-2,1000
306,40,11,29,15,0.2750,21.0000,-4,1000
307,40,21,19,6,0.5250,11.0000,3,1000
308,40,11,29,16,0.2750,19.0000,1,1000
309,40,30,10,1,0.7500,0.0000,1,0
310,40,20,20,8,0.5000,12.0000,-2,1000
311,40,32,8,1,0.8000,0.0000,-1,-5
312,40,24,16,5,0.6000,6.0000,-1,1000
313,40,23,17,6,0.5750,7.0000,-1,1000
314,40,13,27,15,0.3250,17.0000,1,1000
315,40,11,29,14,0.2750,21.0000,-2,1000
316,40,28,12,3,0.7000,2.0000,-2,1000
317,40,15,25,14,0.3750,15.0000,-1,1000
318,40,12,28,13,0.3000,20.0000,-3,1000
319,40,21,19,7,0.5250,11.0000,2,1000
320,40,23,17,7,0.5750,7.0000,6,1000
321,50,27,23,3,0.5400,2.5000,-2,1000
322,50,18,32,6,0.3600,11.5000,-2,1000
323,51,30,21,2,0.5882,1.0000,-1,1000
324,50,26,24,4,0.5200,3.5000,2,1000
325,50,14,36,7,0.2800,15.5000,-2,1000
326,50,24,26,6,0.4800,6.5000,3,1000
327,50,23,27,7,0.4600,7.5000,-3,1000
328,50,25,25,5,0.5000,5.5000,-2,1000
329,50,28,22,3,0.5600,2.5000,2,1000
330,51,29,22,2,0.5686,1.0000,-2,1000
331,51,30,21,1,0.5882,0.0000,3,-1
332,50,20,30,5,0.4000,9.5000,2,1000
333,51,31,20,1,0.6078,0.0000,1,-1
334,50,27,23,4,0.5400,3.5000,1,1000
335,50,31,19,1,0.6200,0.0000,1,0
336,50,27,23,3,0.5400,4.0000,3,1000
337,50,30,20,2,0.6000,1.0000,2,1000
338,50,20,30,6,0.4000,11.0000,-9,1000
339,50,20,30,6,0.4000,11.0000,1,1000
340,50,21,29,5,0.4200,10.0000,-1,1000
341,50,25,25,4,0.5000,6.0000,-1,1000
342,50,31,19,1,0.6200,0.0000,-1,0
343,50,24,26,5,0.4800,7.0000,4,1000
344,50,19,31,7,0.3800,12.0000,2,1000
345,50,27,23,4,0.5400,4.0000,-4,1000
346,50,30,20,2,0.6000,1.0000,1,1000
347,50,19,31,7,0.3800,12.0000,-2,1000
348,50,26,24,3,0.5200,5.0000,-2,1000
349,0,0,0,0,0.0000,0.0000,0,0
350,0,0,0,0,0.0000,0.0000,0,0
351,0,0,0,0,0.0000,0.0000,0,0
352,0,0,0,0,0.0000,0.0000,0,0
353,0,0,0,0,0.0000,0.0000,0,0
354,0,0,0,0,0.0000,0.0000,0,0
