park_id,dimensions_x,dimensions_y,batter_left_x,batter_left_y,batter_right_x,batter_right_y,bases_x0,bases_x1,bases_x2,bases_y0,bases_y1,bases_y2,positions_x0,positions_x1,positions_x2,positions_x3,positions_x4,positions_x5,positions_x6,positions_x7,positions_x8,positions_x9,positions_y0,positions_y1,positions_y2,positions_y3,positions_y4,positions_y5,positions_y6,positions_y7,positions_y8,positions_y9,avg,avg_l,avg_r,d,t,hr,hr_r,hr_l,temperature0,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,rain0,rain1,rain2,rain3,rain4,rain5,rain6,rain7,rain8,rain9,rain10,rain11,wind,wind_direction,distances0,distances1,distances2,distances3,distances4,distances5,distances6,wall_heights0,wall_heights1,wall_heights2,wall_heights3,wall_heights4,wall_heights5,wall_heights6,name,picture,picture_night,nation_id,capacity,type,foul_ground,turf,gender,relative_path_3d_model,file_name_3d_model,home_team_dugout_is_at_first_base
11,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9880,0.9750,0.9950,1.0440,1.1300,0.9050,0.9050,0.9050,36,41,48,56,65,75,79,76,69,57,44,36,2,2,2,1,2,2,2,3,3,2,2,2,9,4,340,375,424,432,414,373,330,10,10,10,10,10,10,10,"Underdogs Ballpark","default_grass.jpg","default_grass.jpg",0,53100,0,0,0,0,"","",1
12,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0755,0.9650,1.1350,1.0340,1.0600,1.0315,1.1050,0.8950,53,56,62,67,73,79,82,81,78,69,62,55,3,3,3,3,3,4,4,5,4,3,3,3,8,8,326,358,401,424,412,370,332,7,7,7,7,11,15,15,"Swarm Ballpark","default_grass.jpg","default_grass.jpg",0,48900,0,0,0,0,"","",1
13,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0377,1.1450,0.9800,1.1940,1.3700,0.9512,0.8900,1.0650,32,35,43,53,64,72,78,76,69,57,47,37,3,3,4,4,3,3,3,3,3,3,3,3,10,5,347,374,424,429,405,359,337,17,17,9,13,9,9,9,"Philadelphia Grounds","default_turf.jpg","default_turf.jpg",0,39300,2,0,1,0,"","",1
14,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0065,1.0000,1.0100,0.9780,1.0200,0.9800,0.9800,0.9800,52,55,59,66,75,84,87,85,81,71,59,52,2,2,2,1,1,1,1,3,2,1,1,2,8,8,331,357,403,425,396,356,326,9,9,9,9,9,9,9,"Ocelots Ballpark","default_grass.jpg","default_grass.jpg",0,43800,0,0,0,0,"","",1
15,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.8977,0.9400,0.8750,1.1180,1.2300,0.8607,0.8450,0.8900,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,380,421,429,397,353,329,17,17,13,13,9,6,6,"Ballpark of Cleveland","default_turf.jpg","default_turf.jpg",0,53400,1,0,1,0,"","",1
16,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0565,1.0500,1.0600,0.9980,0.9700,1.0600,1.0600,1.0600,68,69,72,76,80,82,84,84,82,79,74,70,3,3,3,3,3,5,5,5,7,5,3,3,9,1,331,359,393,427,394,351,322,9,9,9,9,9,9,9,"Ballpark of Miami","default_grass.jpg","default_grass.jpg",0,48300,0,0,0,0,"","",1
17,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0560,1.0300,1.0700,0.9680,0.9800,1.0400,1.0400,1.0400,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,326,360,400,420,395,358,330,9,9,9,9,9,9,9,"Field of the Cannoneers","default_grass.jpg","default_grass.jpg",0,43800,0,0,0,0,"","",1
18,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0005,1.0200,0.9900,0.9480,0.9500,0.9795,0.9900,0.9600,21,25,35,45,56,66,72,71,63,51,38,26,3,3,4,4,4,4,3,3,3,3,4,3,12,8,335,357,402,428,392,353,324,9,9,9,13,9,9,9,"Field of the Sundevils","default_grass.jpg","default_grass.jpg",0,48600,0,0,0,0,"","",1
19,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9585,0.9650,0.9550,0.9320,0.8800,1.0155,1.0050,1.0350,42,45,53,61,69,77,80,79,73,62,52,44,3,3,4,3,3,3,3,3,3,3,3,3,7,7,320,356,384,421,382,342,318,9,9,9,9,9,9,9,"Charlotte Fields","default_grass.jpg","default_grass.jpg",0,34800,2,0,0,0,"","",1
20,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0245,1.0050,1.0350,1.0840,1.0800,0.9685,0.9650,0.9750,56,60,65,71,81,90,95,93,87,75,63,56,2,2,2,1,0,0,0,2,1,1,1,2,6,2,339,374,416,429,415,365,328,6,6,6,6,6,6,6,"Cowboys Ballpark","default_grass.jpg","default_grass.jpg",0,52800,0,0,0,0,"","",1
21,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0100,1.0100,1.0100,1.0180,0.9700,1.0165,1.0200,1.0100,28,32,42,52,63,71,75,74,67,55,44,34,5,4,4,4,4,4,3,3,3,3,4,4,8,4,332,361,402,430,395,356,326,10,10,10,10,10,10,10,"Americans Ballpark","default_grass.jpg","default_grass.jpg",0,48900,0,0,0,0,"","",1
22,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0345,1.0150,1.0450,0.9520,0.8600,1.0820,1.0750,1.0950,53,56,62,68,76,81,83,83,79,70,61,55,3,3,3,3,3,4,3,5,3,2,3,3,8,3,327,347,384,420,380,345,314,9,9,9,9,9,9,9,"Mavericks Ballpark","default_grass.jpg","default_grass.jpg",0,35100,0,0,0,0,"","",1
23,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9205,1.0050,0.8750,0.9720,0.8500,0.9965,0.9650,1.0550,42,44,47,51,57,61,66,66,61,53,46,41,6,6,6,5,3,3,3,2,3,3,7,6,7,4,329,361,396,424,375,344,322,17,17,13,9,8,6,6,"Crusaders Ballpark","default_grass.jpg","default_grass.jpg",0,48300,0,0,0,0,"","",1
24,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0095,0.9900,1.0200,1.0180,1.0100,0.9930,1.0000,0.9800,37,42,51,60,68,77,82,81,73,62,49,40,2,3,3,3,3,3,3,2,3,3,3,2,12,1,328,357,403,422,398,357,326,9,9,9,9,9,9,9,"Eagles Ballpark","default_grass.jpg","default_grass.jpg",0,39300,0,0,0,0,"","",1
25,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9850,0.9850,0.9850,1.0240,1.0700,0.9185,0.9150,0.9250,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,4,335,379,423,436,416,368,334,10,10,10,10,10,10,10,"Ballpark of Mesa","default_grass.jpg","default_grass.jpg",0,43800,2,0,0,0,"","",1
26,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0072,1.0950,0.9600,1.0740,1.0800,0.9572,0.9100,1.0450,45,51,57,65,74,82,83,81,75,65,53,45,2,1,1,1,1,1,1,3,2,2,1,2,10,5,348,382,425,431,406,351,337,15,15,11,7,7,7,7,"Ballpark of El Paso","default_grass.jpg","default_grass.jpg",0,39900,0,0,0,0,"","",1
27,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0100,1.0100,1.0100,1.1280,1.2000,0.9800,0.9800,0.9800,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,4,329,364,396,428,397,356,330,10,10,10,10,10,10,10,"Dingos Ballpark","default_turf.jpg","default_turf.jpg",0,35100,2,0,1,0,"","",1
28,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9900,0.9900,0.9900,1.1180,1.2000,1.0200,1.0200,1.0200,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,357,398,425,400,357,330,10,10,10,10,10,10,10,"Newport News Grounds","default_turf.jpg","default_turf.jpg",0,35100,1,0,1,0,"","",1
29,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0235,1.0300,1.0200,1.0180,1.0300,0.9795,0.9900,0.9600,46,51,55,59,66,72,75,75,72,64,53,46,3,3,3,2,1,0,0,0,0,1,3,3,8,2,331,357,399,430,393,354,323,10,10,10,14,10,10,10,"Predators Ballpark","default_grass.jpg","default_grass.jpg",0,44400,2,0,0,0,"","",1
30,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9680,0.9550,0.9750,1.0640,1.0800,0.9190,0.9050,0.9450,22,25,35,46,58,67,71,69,61,50,38,28,5,4,4,4,3,3,3,3,3,3,5,5,10,8,340,372,422,433,418,371,329,7,7,7,7,7,7,7,"Prairie Thunder Ballpark","default_grass.jpg","default_grass.jpg",0,44100,0,0,0,0,"","",1
31,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9815,0.9750,0.9850,1.0240,1.0800,0.9150,0.9150,0.9150,38,41,49,58,66,74,78,76,70,59,49,41,3,3,4,3,3,3,3,4,3,3,3,3,8,2,336,371,423,437,419,366,331,7,7,7,7,7,7,7,"Spirit Ballpark","default_grass.jpg","default_grass.jpg",0,17700,0,0,0,0,"","",1
32,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9300,0.9300,0.9300,0.9680,0.9500,0.9470,0.9400,0.9600,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,5,335,361,406,431,401,363,323,9,9,9,9,9,9,9,"Berkeley Fields","default_grass.jpg","default_grass.jpg",0,19400,0,0,0,0,"","",1
33,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9992,1.1000,0.9450,1.0080,1.0300,0.9992,0.9450,1.1000,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,3,341,366,408,423,393,345,325,18,18,14,10,10,10,10,"Glendale Grounds","default_grass.jpg","default_grass.jpg",0,17700,0,0,0,0,"","",1
34,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0210,0.9300,1.0700,0.9880,1.0400,0.9905,1.0500,0.8800,45,48,56,62,71,78,81,79,74,63,54,47,3,3,3,3,3,3,3,3,3,2,3,3,6,5,319,347,397,424,399,368,322,9,9,9,14,13,17,17,"Brown Bears Ballpark","default_grass.jpg","default_grass.jpg",0,17700,0,0,0,0,"","",1
35,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0255,1.0450,1.0150,1.0140,1.1400,0.9490,0.9350,0.9750,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,3,339,370,413,435,410,363,334,10,10,10,15,10,10,10,"Moose Ballpark","default_grass.jpg","default_grass.jpg",0,15900,0,0,0,0,"","",1
36,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9705,0.9250,0.9950,1.1040,1.0700,0.9360,0.9850,0.8450,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,328,365,407,439,422,385,331,9,9,9,9,9,17,17,"Ballpark of Modesto","default_grass.jpg","default_grass.jpg",0,19400,0,0,0,0,"","",1
37,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0720,1.0850,1.0650,1.0140,1.1000,1.0245,1.0350,1.0050,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,5,333,372,415,428,410,368,336,10,10,10,10,10,10,10,"Volts Ballpark","default_grass.jpg","default_grass.jpg",0,17700,0,0,0,0,"","",1
38,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0100,0.9450,1.0450,1.0740,1.0600,0.8970,0.9250,0.8450,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,4,329,364,414,433,425,382,336,9,9,9,14,13,17,17,"Lido Beach Grounds","default_grass.jpg","default_grass.jpg",0,15800,0,0,0,0,"","",1
39,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0345,1.0150,1.0450,0.9120,0.9200,1.0950,1.0950,1.0950,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,326,347,382,415,379,343,315,9,9,9,9,9,9,9,"Henderson Grounds","default_grass.jpg","default_grass.jpg",0,17600,0,0,0,0,"","",1
40,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0250,1.0250,1.0250,0.9120,0.9300,1.0615,1.0650,1.0550,16,19,26,36,47,55,58,56,48,34,22,18,3,3,3,3,3,3,3,4,5,4,3,3,7,6,321,351,385,414,377,341,323,7,7,7,11,7,7,7,"Liberty Ballpark","default_grass.jpg","default_grass.jpg",0,15800,0,0,0,0,"","",1
41,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0465,1.0400,1.0500,0.9660,1.0600,1.1630,1.1700,1.1500,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,319,336,363,412,352,326,308,12,12,12,12,12,12,12,"Ballpark of Aurora","default_turf.jpg","default_turf.jpg",0,17500,0,0,1,0,"","",1
42,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0100,1.0100,1.0100,0.9580,0.9600,0.9905,0.9800,1.0100,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,2,333,358,398,430,395,359,330,10,10,10,10,10,10,10,"Islanders Ballpark","default_grass.jpg","default_grass.jpg",0,17500,0,0,0,0,"","",1
43,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0585,1.0650,1.0550,0.9720,0.9100,1.1380,1.1450,1.1250,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,320,344,379,419,366,340,318,9,9,9,9,9,9,9,"Lumber Kings Ballpark","default_grass.jpg","default_grass.jpg",0,21200,0,0,0,0,"","",1
44,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0000,1.0650,0.9650,1.0240,1.0900,0.9030,0.8750,0.9550,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,8,348,388,434,437,411,357,334,15,15,7,11,7,7,7,"Red Wings Ballpark","default_grass.jpg","default_grass.jpg",0,19300,0,0,0,0,"","",1
45,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0380,1.0250,1.0450,1.0440,1.0600,0.9915,0.9950,0.9850,45,49,57,63,72,79,81,81,76,64,55,48,3,3,3,3,3,3,3,3,3,2,3,3,7,1,342,368,417,430,415,368,329,7,7,7,7,7,7,7,"Silver Stars Ballpark","default_grass.jpg","default_grass.jpg",0,15900,0,0,0,0,"","",1
46,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9865,0.9800,0.9900,0.9780,1.0300,1.0070,1.0000,1.0200,56,60,66,72,78,82,84,84,81,74,65,58,3,3,3,2,2,3,2,2,3,3,3,3,12,4,330,365,399,423,395,358,330,9,9,9,9,9,9,9,"Sabres Ballpark","default_grass.jpg","default_grass.jpg",0,13900,0,0,0,0,"","",1
47,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0210,0.9300,1.0700,0.9680,1.0400,0.9675,1.0200,0.8700,13,20,32,47,59,68,73,71,61,49,33,19,3,3,3,3,4,4,4,3,3,3,3,3,11,1,324,347,396,429,410,361,321,12,12,12,17,16,20,20,"Skyliners Ballpark","default_grass.jpg","default_grass.jpg",0,19300,0,0,0,0,"","",1
48,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9880,0.9750,0.9950,1.0140,1.0600,0.9080,0.9150,0.8950,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,1,340,372,422,437,418,373,333,7,7,7,13,7,7,7,"Bucs Ballpark","default_grass.jpg","default_grass.jpg",0,15900,0,0,0,0,"","",1
49,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0220,1.0350,1.0150,0.9720,0.8600,1.0685,1.0650,1.0750,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,6,325,351,378,415,374,339,322,7,7,7,7,7,7,7,"Peaches Ballpark","default_grass.jpg","default_grass.jpg",0,21100,0,0,0,0,"","",1
50,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9780,0.9650,0.9850,1.0340,1.1300,0.9050,0.9050,0.9050,28,32,38,45,55,64,70,68,60,49,36,29,2,2,3,3,3,3,3,4,3,2,2,2,10,8,338,379,425,434,418,367,329,10,10,10,10,10,10,10,"Ballpark of Colorado Springs","default_grass.jpg","default_grass.jpg",0,17600,0,0,0,0,"","",1
51,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9900,1.0550,0.9550,1.0940,1.1400,0.9165,0.8850,0.9750,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,2,345,382,431,439,412,355,332,17,17,13,14,9,6,6,"Gryphons Stadium","default_grass.jpg","default_grass.jpg",0,13900,0,0,0,0,"","",1
52,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9895,0.9050,1.0350,1.0440,1.0700,0.9205,0.9450,0.8750,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,1,329,362,408,430,428,381,332,6,6,7,9,13,17,17,"Manatees Stadium","default_grass.jpg","default_grass.jpg",0,19400,0,0,0,0,"","",1
53,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9345,0.9150,0.9450,0.9420,0.8700,0.9815,0.9850,0.9750,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,3,321,356,393,424,389,347,314,9,9,9,9,9,9,9,"Galaxy Ballpark","default_grass.jpg","default_grass.jpg",0,19400,0,0,0,0,"","",1
54,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,0.9915,0.9850,0.9950,1.0440,1.1300,0.8985,0.8950,0.9050,42,45,49,53,60,69,76,76,69,58,49,44,2,1,1,2,1,1,0,0,1,2,2,2,11,6,337,373,417,431,414,370,333,10,10,10,14,10,10,10,"Silver Hawks Ballpark","default_grass.jpg","default_grass.jpg",0,14100,0,0,0,0,"","",1
55,0,0,337,355,140,355,443,224,86,315,254,303,0,266,266,420,333,47,150,67,264,440,0,317,411,278,226,268,217,167,153,191,1.0195,0.9350,1.0650,1.0340,1.0900,1.0025,1.0550,0.9050,32,36,46,55,64,72,76,75,68,57,46,36,4,4,4,4,4,4,3,3,3,3,4,4,9,5,331,362,405,435,420,375,337,6,6,6,9,9,17,17,"Velocity Ballpark","default_grass.jpg","default_grass.jpg",0,17500,0,0,0,0,"","",1
